instance,best_cost,n_customers,n_routes,time_s,out_json,out_png,total_load,avg_load,max_load,avg_route_dist,route_loads,route_dists
C101,845.0,100,10,,results/baselines\C101_baseline.json,,1810,181.0,200,84.44,200;190;200;170;200;170;160;170;150;200,128.04;95.94;101.88;70.42;96.04;56.17;64.81;76.07;57.79;97.23
C102,845.0,100,10,,results/baselines\C102_baseline.json,,1810,181.0,200,84.44,200;190;200;170;200;170;160;170;150;200,128.04;95.94;101.88;70.42;96.04;56.17;64.81;76.07;57.79;97.23
C103,845.0,100,10,,results/baselines\C103_baseline.json,,1810,181.0,200,84.44,200;190;200;170;200;170;160;170;150;200,128.04;95.94;101.88;70.42;96.04;56.17;64.81;76.07;57.79;97.23
C104,996.0,99,9,,results/baselines\C104_baseline.json,,1800,200.0,200,110.927,200;200;200;200;200;200;200;200;200,176.60;124.62;94.62;93.11;110.05;150.82;96.04;59.40;93.08
C105,845.0,100,10,,results/baselines\C105_baseline.json,,1810,181.0,200,84.44,200;190;200;170;200;170;160;170;150;200,128.04;95.94;101.88;70.42;96.04;56.17;64.81;76.07;57.79;97.23
C106,845.0,100,10,,results/baselines\C106_baseline.json,,1810,181.0,200,84.44,200;190;200;170;200;170;160;170;150;200,128.04;95.94;101.88;70.42;96.04;56.17;64.81;76.07;57.79;97.23
C107,845.0,100,10,,results/baselines\C107_baseline.json,,1810,181.0,200,84.44,200;190;200;170;200;170;160;170;150;200,128.04;95.94;101.88;70.42;96.04;56.17;64.81;76.07;57.79;97.23
C108,845.0,100,10,,results/baselines\C108_baseline.json,,1810,181.0,200,84.44,200;190;200;170;200;170;160;170;150;200,128.04;95.94;101.88;70.42;96.04;56.17;64.81;76.07;57.79;97.23
C109,845.0,100,10,,results/baselines\C109_baseline.json,,1810,181.0,200,84.44,200;190;200;170;200;170;160;170;150;200,128.04;95.94;101.88;70.42;96.04;56.17;64.81;76.07;57.79;97.23
C201,970.0,100,10,,results/baselines\C201_baseline.json,,1810,181.0,200,97.474,40;180;200;200;200;200;190;200;200;200,16.49;106.37;145.10;135.52;96.96;115.21;68.93;97.28;95.83;97.05
C202,970.0,100,10,,results/baselines\C202_baseline.json,,1810,181.0,200,97.474,40;180;200;200;200;200;190;200;200;200,16.49;106.37;145.10;135.52;96.96;115.21;68.93;97.28;95.83;97.05
C203,970.0,100,10,,results/baselines\C203_baseline.json,,1810,181.0,200,97.474,40;180;200;200;200;200;190;200;200;200,16.49;106.37;145.10;135.52;96.96;115.21;68.93;97.28;95.83;97.05
C204,970.0,100,10,,results/baselines\C204_baseline.json,,1810,181.0,200,97.474,40;180;200;200;200;200;190;200;200;200,16.49;106.37;145.10;135.52;96.96;115.21;68.93;97.28;95.83;97.05
C205,970.0,100,10,,results/baselines\C205_baseline.json,,1810,181.0,200,97.474,40;180;200;200;200;200;190;200;200;200,16.49;106.37;145.10;135.52;96.96;115.21;68.93;97.28;95.83;97.05
C206,970.0,100,10,,results/baselines\C206_baseline.json,,1810,181.0,200,97.474,40;180;200;200;200;200;190;200;200;200,16.49;106.37;145.10;135.52;96.96;115.21;68.93;97.28;95.83;97.05
C207,970.0,100,10,,results/baselines\C207_baseline.json,,1810,181.0,200,97.474,40;180;200;200;200;200;190;200;200;200,16.49;106.37;145.10;135.52;96.96;115.21;68.93;97.28;95.83;97.05
C208,970.0,100,10,,results/baselines\C208_baseline.json,,1810,181.0,200,97.474,40;180;200;200;200;200;190;200;200;200,16.49;106.37;145.10;135.52;96.96;115.21;68.93;97.28;95.83;97.05
R101,893.0,100,8,,results/baselines\R101_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R102,893.0,100,8,,results/baselines\R102_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R103,893.0,100,8,,results/baselines\R103_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R104,893.0,100,8,,results/baselines\R104_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R105,893.0,100,8,,results/baselines\R105_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R106,893.0,100,8,,results/baselines\R106_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R107,893.0,100,8,,results/baselines\R107_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R108,893.0,100,8,,results/baselines\R108_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R109,893.0,100,8,,results/baselines\R109_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R110,893.0,100,8,,results/baselines\R110_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R111,893.0,100,8,,results/baselines\R111_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R112,893.0,100,8,,results/baselines\R112_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R201,893.0,100,8,,results/baselines\R201_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
R202,893.0,100,8,,results/baselines\R202_baseline.json,,1458,182.25,200,113.292,198;199;193;200;198;189;110;171,141.22;102.80;138.77;158.87;121.75;120.51;45.17;77.25
