instance,novelty_score,candidate_k_large,candidate_k_relative,fuzzy_present,ga_tuned,pheromone_init_tau0,q0_decay,tau0_present,two_opt
C101,0.6666666666666666,0,0.15,1,0,1,1,1,1
C102,0.6666666666666666,0,0.15,1,0,1,1,1,1
C103,0.6666666666666666,0,0.15,1,0,1,1,1,1
C104,0.8181818181818181,1,0.15151515151515152,1,0,1,1,1,1
C105,0.6666666666666666,0,0.15,1,0,1,1,1,1
C106,0.6666666666666666,0,0.15,1,0,1,1,1,1
C107,0.6666666666666666,0,0.15,1,0,1,1,1,1
C108,0.6666666666666666,0,0.15,1,0,1,1,1,1
C109,0.6666666666666666,0,0.15,1,0,1,1,1,1
C201,0.6666666666666666,0,0.15,1,0,1,1,1,1
C202,0.6666666666666666,0,0.15,1,0,1,1,1,1
C203,0.6666666666666666,0,0.15,1,0,1,1,1,1
C204,0.6666666666666666,0,0.15,1,0,1,1,1,1
C205,0.6666666666666666,0,0.15,1,0,1,1,1,1
C206,0.6666666666666666,0,0.15,1,0,1,1,1,1
C207,0.6666666666666666,0,0.15,1,0,1,1,1,1
C208,0.6666666666666666,0,0.15,1,0,1,1,1,1
R101,0.8484848484848485,0,0.15,1,1,1,1,1,1
R102,0.6666666666666666,0,0.15,1,0,1,1,1,1
R103,0.6666666666666666,0,0.15,1,0,1,1,1,1
R104,0.6666666666666666,0,0.15,1,0,1,1,1,1
R105,0.6666666666666666,0,0.15,1,0,1,1,1,1
R106,0.6666666666666666,0,0.15,1,0,1,1,1,1
R107,0.6666666666666666,0,0.15,1,0,1,1,1,1
R108,0.6666666666666666,0,0.15,1,0,1,1,1,1
R109,0.6666666666666666,0,0.15,1,0,1,1,1,1
R110,0.6666666666666666,0,0.15,1,0,1,1,1,1
R111,0.6666666666666666,0,0.15,1,0,1,1,1,1
R112,0.6666666666666666,0,0.15,1,0,1,1,1,1
R201,0.6666666666666666,0,0.15,1,0,1,1,1,1
R202,0.6666666666666666,0,0.15,1,0,1,1,1,1
R203,0.6666666666666666,0,0.15,1,0,1,1,1,1
R204,0.6666666666666666,0,0.15,1,0,1,1,1,1
R205,0.6666666666666666,0,0.15,1,0,1,1,1,1
R206,0.6666666666666666,0,0.15,1,0,1,1,1,1
R207,0.6666666666666666,0,0.15,1,0,1,1,1,1
R208,0.6666666666666666,0,0.15,1,0,1,1,1,1
R209,0.6666666666666666,0,0.15,1,0,1,1,1,1
R210,0.6666666666666666,0,0.15,1,0,1,1,1,1
R211,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC101,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC102,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC103,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC104,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC105,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC106,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC107,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC108,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC201,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC202,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC203,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC204,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC205,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC206,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC207,0.6666666666666666,0,0.15,1,0,1,1,1,1
RC208,0.6666666666666666,0,0.15,1,0,1,1,1,1
