group,instance,n_customers,vehicle_capacity,depot_found,avg_demand,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,parsed_path,raw_path
C1,C101,0,,False,,,,,,data\solomon\C1\parsed\C101.json,data\solomon\C1\raw\C101.csv
C1,C102,0,,False,,,,,,data\solomon\C1\parsed\C102.json,data\solomon\C1\raw\C102.csv
C1,C103,0,,False,,,,,,data\solomon\C1\parsed\C103.json,data\solomon\C1\raw\C103.csv
C1,C104,0,,False,,,,,,data\solomon\C1\parsed\C104.json,data\solomon\C1\raw\C104.csv
C1,C105,0,,False,,,,,,data\solomon\C1\parsed\C105.json,data\solomon\C1\raw\C105.csv
C1,C106,0,,False,,,,,,data\solomon\C1\parsed\C106.json,data\solomon\C1\raw\C106.csv
C1,C107,0,,False,,,,,,data\solomon\C1\parsed\C107.json,data\solomon\C1\raw\C107.csv
C1,C108,0,,False,,,,,,data\solomon\C1\parsed\C108.json,data\solomon\C1\raw\C108.csv
C1,C109,0,,False,,,,,,data\solomon\C1\parsed\C109.json,data\solomon\C1\raw\C109.csv
C2,C201,0,,False,,,,,,data\solomon\C2\parsed\C201.json,data\solomon\C2\raw\C201.csv
C2,C202,0,,False,,,,,,data\solomon\C2\parsed\C202.json,data\solomon\C2\raw\C202.csv
C2,C203,0,,False,,,,,,data\solomon\C2\parsed\C203.json,data\solomon\C2\raw\C203.csv
C2,C204,0,,False,,,,,,data\solomon\C2\parsed\C204.json,data\solomon\C2\raw\C204.csv
C2,C205,0,,False,,,,,,data\solomon\C2\parsed\C205.json,data\solomon\C2\raw\C205.csv
C2,C206,0,,False,,,,,,data\solomon\C2\parsed\C206.json,data\solomon\C2\raw\C206.csv
C2,C207,0,,False,,,,,,data\solomon\C2\parsed\C207.json,data\solomon\C2\raw\C207.csv
C2,C208,0,,False,,,,,,data\solomon\C2\parsed\C208.json,data\solomon\C2\raw\C208.csv
R1,R101,0,,False,,,,,,data\solomon\R1\parsed\R101.json,data\solomon\R1\raw\R101.csv
R1,R102,0,,False,,,,,,data\solomon\R1\parsed\R102.json,data\solomon\R1\raw\R102.csv
R1,R103,0,,False,,,,,,data\solomon\R1\parsed\R103.json,data\solomon\R1\raw\R103.csv
R1,R104,0,,False,,,,,,data\solomon\R1\parsed\R104.json,data\solomon\R1\raw\R104.csv
R1,R105,0,,False,,,,,,data\solomon\R1\parsed\R105.json,data\solomon\R1\raw\R105.csv
R1,R106,0,,False,,,,,,data\solomon\R1\parsed\R106.json,data\solomon\R1\raw\R106.csv
R1,R107,0,,False,,,,,,data\solomon\R1\parsed\R107.json,data\solomon\R1\raw\R107.csv
R1,R108,0,,False,,,,,,data\solomon\R1\parsed\R108.json,data\solomon\R1\raw\R108.csv
R1,R109,0,,False,,,,,,data\solomon\R1\parsed\R109.json,data\solomon\R1\raw\R109.csv
R1,R110,0,,False,,,,,,data\solomon\R1\parsed\R110.json,data\solomon\R1\raw\R110.csv
R1,R111,0,,False,,,,,,data\solomon\R1\parsed\R111.json,data\solomon\R1\raw\R111.csv
R1,R112,0,,False,,,,,,data\solomon\R1\parsed\R112.json,data\solomon\R1\raw\R112.csv
R2,R201,0,,False,,,,,,data\solomon\R2\parsed\R201.json,data\solomon\R2\raw\R201.csv
R2,R202,0,,False,,,,,,data\solomon\R2\parsed\R202.json,data\solomon\R2\raw\R202.csv
R2,R203,0,,False,,,,,,data\solomon\R2\parsed\R203.json,data\solomon\R2\raw\R203.csv
R2,R204,0,,False,,,,,,data\solomon\R2\parsed\R204.json,data\solomon\R2\raw\R204.csv
R2,R205,0,,False,,,,,,data\solomon\R2\parsed\R205.json,data\solomon\R2\raw\R205.csv
R2,R206,0,,False,,,,,,data\solomon\R2\parsed\R206.json,data\solomon\R2\raw\R206.csv
R2,R207,0,,False,,,,,,data\solomon\R2\parsed\R207.json,data\solomon\R2\raw\R207.csv
R2,R208,0,,False,,,,,,data\solomon\R2\parsed\R208.json,data\solomon\R2\raw\R208.csv
R2,R209,0,,False,,,,,,data\solomon\R2\parsed\R209.json,data\solomon\R2\raw\R209.csv
R2,R210,0,,False,,,,,,data\solomon\R2\parsed\R210.json,data\solomon\R2\raw\R210.csv
R2,R211,0,,False,,,,,,data\solomon\R2\parsed\R211.json,data\solomon\R2\raw\R211.csv
RC1,RC101,0,,False,,,,,,data\solomon\RC1\parsed\RC101.json,data\solomon\RC1\raw\RC101.csv
RC1,RC102,0,,False,,,,,,data\solomon\RC1\parsed\RC102.json,data\solomon\RC1\raw\RC102.csv
RC1,RC103,0,,False,,,,,,data\solomon\RC1\parsed\RC103.json,data\solomon\RC1\raw\RC103.csv
RC1,RC104,0,,False,,,,,,data\solomon\RC1\parsed\RC104.json,data\solomon\RC1\raw\RC104.csv
RC1,RC105,0,,False,,,,,,data\solomon\RC1\parsed\RC105.json,data\solomon\RC1\raw\RC105.csv
RC1,RC106,0,,False,,,,,,data\solomon\RC1\parsed\RC106.json,data\solomon\RC1\raw\RC106.csv
RC1,RC107,0,,False,,,,,,data\solomon\RC1\parsed\RC107.json,data\solomon\RC1\raw\RC107.csv
RC1,RC108,0,,False,,,,,,data\solomon\RC1\parsed\RC108.json,data\solomon\RC1\raw\RC108.csv
RC2,RC201,0,,False,,,,,,data\solomon\RC2\parsed\RC201.json,data\solomon\RC2\raw\RC201.csv
RC2,RC202,0,,False,,,,,,data\solomon\RC2\parsed\RC202.json,data\solomon\RC2\raw\RC202.csv
RC2,RC203,0,,False,,,,,,data\solomon\RC2\parsed\RC203.json,data\solomon\RC2\raw\RC203.csv
RC2,RC204,0,,False,,,,,,data\solomon\RC2\parsed\RC204.json,data\solomon\RC2\raw\RC204.csv
RC2,RC205,0,,False,,,,,,data\solomon\RC2\parsed\RC205.json,data\solomon\RC2\raw\RC205.csv
RC2,RC206,0,,False,,,,,,data\solomon\RC2\parsed\RC206.json,data\solomon\RC2\raw\RC206.csv
RC2,RC207,0,,False,,,,,,data\solomon\RC2\parsed\RC207.json,data\solomon\RC2\raw\RC207.csv
RC2,RC208,0,,False,,,,,,data\solomon\RC2\parsed\RC208.json,data\solomon\RC2\raw\RC208.csv
