instance,best_cost,n_customers,n_routes,time_s,out_json,out_png,total_load,avg_load,max_load,avg_route_dist,route_loads,route_dists
C101,2122.017531851843,100,24,0.19315576553344727,results/aco_repeats\baseline\repeat_1\C101_acs_result.json,results/aco_repeats\baseline\repeat_1\C101_acs_routes.png,1810,75.417,160,88.417,90;70;60;140;60;60;100;30;90;160;50;100;100;60;90;70;30;80;60;100;50;70;40;50,43.25;50.19;84.67;53.24;85.42;73.59;69.52;74.26;102.12;156.90;48.87;68.98;119.34;128.47;110.13;125.65;41.18;99.85;77.23;115.26;79.49;175.29;67.05;72.06
C102,1879.730808163649,100,21,0.2498161792755127,results/aco_repeats\baseline\repeat_1\C102_acs_result.json,results/aco_repeats\baseline\repeat_1\C102_acs_routes.png,1810,86.19,180,89.511,50;100;100;140;180;80;140;150;50;40;30;100;20;70;160;50;60;60;140;60;30,56.86;51.27;69.71;96.54;171.64;90.64;133.06;127.30;48.64;81.65;97.04;98.73;79.14;90.85;89.56;93.33;82.85;127.34;94.44;59.15;39.99
C103,1879.3845997710991,100,18,0.20917749404907227,results/aco_repeats\baseline\repeat_1\C103_acs_result.json,results/aco_repeats\baseline\repeat_1\C103_acs_routes.png,1810,100.556,200,104.41,110;190;150;200;100;140;80;90;150;170;120;80;70;40;50;10;40;20,72.89;71.16;67.60;100.32;94.25;128.18;114.44;126.30;175.18;195.22;119.54;136.84;82.76;102.42;91.37;76.16;73.77;50.99
C104,1350.6141066741045,99,14,0.2167530059814453,results/aco_repeats\baseline\repeat_1\C104_acs_result.json,results/aco_repeats\baseline\repeat_1\C104_acs_routes.png,1800,128.571,200,96.472,170;200;190;200;160;160;190;200;80;110;30;70;20;20,50.84;74.45;82.90;93.69;136.11;102.85;142.56;145.92;117.85;101.37;90.43;72.25;88.41;50.99
C105,2169.883682262192,100,24,0.1850752830505371,results/aco_repeats\baseline\repeat_1\C105_acs_result.json,results/aco_repeats\baseline\repeat_1\C105_acs_routes.png,1810,75.417,180,90.412,40;50;30;60;100;120;180;60;90;140;40;60;80;60;80;110;150;70;70;40;70;80;20;10,47.34;65.90;48.53;62.13;77.02;86.14;55.98;129.46;115.04;130.35;53.54;93.55;101.48;165.37;86.64;95.19;87.23;86.51;156.78;72.11;132.33;80.44;70.71;70.11
C106,1933.043714120267,100,19,0.19005036354064941,results/aco_repeats\baseline\repeat_1\C106_acs_result.json,results/aco_repeats\baseline\repeat_1\C106_acs_routes.png,1810,95.263,170,101.739,50;170;60;100;100;110;100;130;150;150;160;100;100;110;70;30;60;40;20,53.75;67.64;64.80;91.02;114.69;133.55;54.52;135.26;137.72;162.32;92.64;118.36;118.22;81.50;154.43;117.87;101.48;71.66;61.61
C107,2060.003886866368,100,20,0.19301557540893555,results/aco_repeats\baseline\repeat_1\C107_acs_result.json,results/aco_repeats\baseline\repeat_1\C107_acs_routes.png,1810,90.5,180,103.0,40;20;150;180;90;80;60;100;50;160;90;80;100;180;80;140;60;30;100;20,47.34;31.62;82.88;114.32;72.52;76.92;86.00;125.25;79.39;114.27;146.08;114.42;161.16;170.25;140.44;134.91;108.94;76.62;138.03;38.63
C108,1609.693146230401,100,16,0.17876219749450684,results/aco_repeats\baseline\repeat_1\C108_acs_result.json,results/aco_repeats\baseline\repeat_1\C108_acs_routes.png,1810,113.125,200,100.606,160;110;140;110;100;100;140;200;140;140;130;80;50;80;40;90,77.79;46.28;70.18;48.24;131.72;111.18;127.05;101.88;121.51;116.52;183.96;92.93;80.11;117.12;110.68;72.55
C109,1544.2183207305563,100,15,0.18881487846374512,results/aco_repeats\baseline\repeat_1\C109_acs_result.json,results/aco_repeats\baseline\repeat_1\C109_acs_routes.png,1810,120.667,200,102.948,140;40;80;200;200;130;110;90;190;140;190;100;70;70;60,66.07;57.04;61.81;97.53;113.05;85.26;148.19;134.61;115.73;141.71;100.62;131.52;82.26;109.11;99.73
C201,1664.8497713145387,100,13,0.18005847930908203,results/aco_repeats\baseline\repeat_1\C201_acs_result.json,results/aco_repeats\baseline\repeat_1\C201_acs_routes.png,1810,139.231,200,128.065,170;70;80;200;190;120;190;180;200;200;100;40;70,112.89;56.29;50.26;105.44;146.58;177.01;189.85;149.22;147.32;193.57;112.93;78.17;145.32
C202,1715.142690393946,100,13,0.2130298614501953,results/aco_repeats\baseline\repeat_1\C202_acs_result.json,results/aco_repeats\baseline\repeat_1\C202_acs_routes.png,1810,139.231,200,131.934,200;160;200;100;170;40;200;170;160;180;120;20;90,107.56;89.69;144.20;119.14;179.36;69.70;104.24;164.36;127.80;187.67;90.87;164.81;165.75
C203,1570.087497073821,100,12,0.20341920852661133,results/aco_repeats\baseline\repeat_1\C203_acs_result.json,results/aco_repeats\baseline\repeat_1\C203_acs_routes.png,1810,150.833,200,130.841,200;200;70;170;200;180;200;200;180;90;90;30,109.97;112.93;59.62;89.20;117.25;142.66;232.02;203.33;146.61;145.28;166.28;44.95
C204,1212.3213332780997,100,10,0.24004149436950684,results/aco_repeats\baseline\repeat_1\C204_acs_result.json,results/aco_repeats\baseline\repeat_1\C204_acs_routes.png,1810,181.0,200,121.232,200;200;200;150;160;200;200;160;200;140,103.25;112.86;117.55;107.93;74.46;155.41;115.46;146.13;110.24;169.03
C205,1440.4288733534192,100,12,0.2090015411376953,results/aco_repeats\baseline\repeat_1\C205_acs_result.json,results/aco_repeats\baseline\repeat_1\C205_acs_routes.png,1810,150.833,200,120.036,60;200;200;200;200;160;200;50;200;190;140;10,93.52;113.08;114.04;134.34;130.70;156.59;93.08;57.07;174.94;176.46;145.38;51.22
C206,1377.1464460369693,100,11,0.20957684516906738,results/aco_repeats\baseline\repeat_1\C206_acs_result.json,results/aco_repeats\baseline\repeat_1\C206_acs_routes.png,1810,164.545,200,125.195,110;200;200;200;200;200;110;200;190;100;100,107.16;104.43;155.42;85.79;99.63;174.24;130.89;147.47;176.19;84.13;111.80
C207,1363.398003426482,100,10,0.23377776145935059,results/aco_repeats\baseline\repeat_1\C207_acs_result.json,results/aco_repeats\baseline\repeat_1\C207_acs_routes.png,1810,181.0,200,136.34,200;200;190;200;200;200;170;180;150;120,144.27;96.19;141.12;194.24;113.70;169.66;139.07;148.56;120.35;96.25
C208,1088.955662280909,100,10,0.21483612060546875,results/aco_repeats\baseline\repeat_1\C208_acs_result.json,results/aco_repeats\baseline\repeat_1\C208_acs_routes.png,1810,181.0,200,108.896,200;200;200;180;200;200;200;200;200;30,128.36;106.92;88.50;81.38;111.85;98.28;113.91;139.70;125.19;94.87
R101,2521.505211636703,100,35,0.1874089241027832,results/aco_repeats\baseline\repeat_1\R101_acs_result.json,results/aco_repeats\baseline\repeat_1\R101_acs_routes.png,1458,41.657,99,72.043,60;35;38;15;99;43;38;48;57;40;79;21;47;56;47;42;57;14;33;74;39;19;39;28;36;37;43;30;29;47;27;82;19;35;5,40.85;30.08;37.38;44.39;89.97;50.15;52.46;51.62;57.66;62.80;109.11;64.01;81.66;54.78;70.23;82.37;76.86;70.10;49.07;81.10;55.19;83.87;88.45;112.79;58.03;104.96;55.64;87.86;69.88;91.98;65.02;112.62;95.87;99.89;82.80
R102,2265.114886613627,100,32,0.18889188766479492,results/aco_repeats\baseline\repeat_1\R102_acs_result.json,results/aco_repeats\baseline\repeat_1\R102_acs_routes.png,1458,45.562,136,70.785,43;56;33;122;54;41;136;65;60;75;8;34;67;70;9;46;62;61;33;19;34;33;25;56;28;23;31;31;24;37;22;20,44.93;46.90;31.51;54.29;45.96;49.08;95.85;51.19;56.06;74.41;67.61;96.51;85.33;107.07;63.25;66.34;88.73;100.78;89.40;52.87;78.07;88.88;94.69;96.43;43.98;51.11;79.92;61.64;70.77;55.17;76.53;99.86
R103,1940.3971304875195,100,26,0.18288469314575195,results/aco_repeats\baseline\repeat_1\R103_acs_result.json,results/aco_repeats\baseline\repeat_1\R103_acs_routes.png,1458,56.077,169,74.631,169;72;77;49;27;137;41;143;38;101;60;53;98;66;36;80;16;58;16;31;16;9;13;9;34;9,103.42;47.25;49.39;52.92;24.36;76.62;49.08;116.10;68.63;96.62;55.99;98.92;116.40;105.91;42.76;105.68;50.99;92.77;99.95;67.10;84.85;52.50;65.13;38.47;85.56;93.04
R104,1468.7291472651923,100,17,0.19353580474853516,results/aco_repeats\baseline\repeat_1\R104_acs_result.json,results/aco_repeats\baseline\repeat_1\R104_acs_routes.png,1458,85.765,196,86.396,60;153;159;196;196;93;68;72;92;98;80;22;69;21;18;54;7,66.25;91.31;83.54;102.48;66.55;87.93;49.59;114.90;112.08;90.90;113.21;73.03;107.59;83.96;84.85;91.92;48.66
R105,2106.155698006493,100,28,0.19331598281860352,results/aco_repeats\baseline\repeat_1\R105_acs_result.json,results/aco_repeats\baseline\repeat_1\R105_acs_routes.png,1458,52.071,101,75.22,49;88;34;56;75;15;40;38;50;101;8;92;83;76;43;92;97;61;42;19;83;52;44;37;35;19;21;8,53.91;102.27;49.23;79.54;53.33;18.00;49.12;63.22;56.30;84.50;74.54;117.27;84.74;83.22;61.37;73.81;92.21;78.62;124.47;64.82;92.02;119.05;93.64;66.26;63.03;95.87;50.99;60.83
R106,1986.0194157411352,100,25,0.18337750434875488,results/aco_repeats\baseline\repeat_1\R106_acs_result.json,results/aco_repeats\baseline\repeat_1\R106_acs_routes.png,1458,58.32,164,79.441,72;34;55;33;90;164;121;56;70;34;62;65;40;96;62;69;52;55;9;23;34;44;66;20;32,52.12;52.52;47.77;31.51;64.02;51.84;90.47;73.37;97.21;69.31;78.79;143.83;88.14;114.79;91.53;91.10;104.66;67.08;117.19;62.09;79.20;75.05;90.14;69.46;82.82
R107,1782.8741424076002,100,22,0.19138789176940918,results/aco_repeats\baseline\repeat_1\R107_acs_result.json,results/aco_repeats\baseline\repeat_1\R107_acs_routes.png,1458,66.273,192,81.04,124;39;114;192;51;100;106;38;71;65;28;84;51;114;76;54;49;32;16;31;5;18,73.70;36.63;76.38;65.63;51.67;83.11;74.04;51.75;102.96;130.41;80.00;115.78;111.81;109.83;95.11;91.92;67.18;65.59;84.85;67.94;82.80;63.78
R108,1385.8562297713722,100,16,0.19182825088500977,results/aco_repeats\baseline\repeat_1\R108_acs_result.json,results/aco_repeats\baseline\repeat_1\R108_acs_routes.png,1458,91.125,170,86.616,151;170;61;112;98;100;170;100;126;33;62;79;101;10;54;31,88.73;112.78;41.35;69.80;50.58;92.56;70.51;60.12;100.52;110.48;83.09;153.58;121.60;71.15;91.92;67.10
