instance,best_cost,n_customers,n_routes,time_s,out_json,out_png,total_load,avg_load,max_load,avg_route_dist,route_loads,route_dists
C101,1833.3993549230242,100,22,0.35197925567626953,results/aco_repeats\current\repeat_3\C101_acs_result.json,results/aco_repeats\current\repeat_3\C101_acs_routes.png,1810,82.273,190,83.336,40;30;130;20;120;40;100;100;50;90;30;10;50;120;140;130;60;170;40;190;40;110,45.23;48.37;69.70;54.44;87.54;39.81;48.78;99.70;102.59;53.46;74.45;48.70;138.91;64.37;92.74;91.48;155.21;94.43;121.33;100.62;80.62;120.90
C102,1675.1521079519916,100,16,0.32424330711364746,results/aco_repeats\current\repeat_3\C102_acs_result.json,results/aco_repeats\current\repeat_3\C102_acs_routes.png,1810,113.125,160,104.697,160;120;120;110;110;110;140;70;80;60;140;160;130;140;50;110,65.63;51.66;100.77;45.65;130.54;94.96;95.86;112.53;51.30;153.38;165.10;89.56;91.84;155.86;149.62;120.90
C103,1564.4242257245205,100,16,0.34621191024780273,results/aco_repeats\current\repeat_3\C103_acs_result.json,results/aco_repeats\current\repeat_3\C103_acs_routes.png,1810,113.125,190,97.777,140;130;110;150;140;130;130;170;130;190;60;110;100;40;20;60,72.52;52.68;45.65;94.45;89.51;94.27;116.11;105.00;128.49;95.88;131.32;91.78;154.43;86.02;88.41;117.88
C104,1421.0616019487086,99,14,0.37055039405822754,results/aco_repeats\current\repeat_3\C104_acs_result.json,results/aco_repeats\current\repeat_3\C104_acs_routes.png,1800,128.571,200,101.504,200;150;170;100;160;90;200;150;200;190;50;80;50;10,92.44;67.04;73.28;46.26;93.21;91.03;125.28;138.29;156.74;181.73;114.97;74.44;96.22;70.11
C105,1799.7238784923036,100,18,0.35545825958251953,results/aco_repeats\current\repeat_3\C105_acs_result.json,results/aco_repeats\current\repeat_3\C105_acs_routes.png,1810,100.556,170,99.985,120;130;100;40;110;100;70;100;120;50;120;90;140;170;40;170;30;110,68.70;69.70;76.54;39.81;68.55;58.59;107.17;114.38;157.20;141.70;64.37;111.66;89.87;138.02;115.57;96.64;160.33;120.90
C106,1775.6852780738743,100,17,0.36195874214172363,results/aco_repeats\current\repeat_3\C106_acs_result.json,results/aco_repeats\current\repeat_3\C106_acs_routes.png,1810,106.471,180,104.452,50;50;110;120;70;110;100;70;140;60;80;130;180;130;150;150;110,47.36;75.69;51.02;87.76;69.42;110.89;70.18;129.90;139.67;126.04;156.29;121.61;130.95;89.55;87.23;161.22;120.90
C107,2029.4275287924465,100,17,0.3498353958129883,results/aco_repeats\current\repeat_3\C107_acs_result.json,results/aco_repeats\current\repeat_3\C107_acs_routes.png,1810,106.471,160,119.378,120;130;110;70;100;120;120;90;150;30;120;150;160;70;140;50;80,68.70;69.70;106.66;69.42;107.84;59.01;118.81;84.46;172.36;107.72;177.61;159.78;183.85;170.17;94.44;164.44;114.44
C108,1852.878282149724,100,19,0.31621479988098145,results/aco_repeats\current\repeat_3\C108_acs_result.json,results/aco_repeats\current\repeat_3\C108_acs_routes.png,1810,95.263,170,97.52,70;130;30;90;100;110;110;150;40;90;120;170;130;110;120;60;110;50;20,51.03;68.82;37.49;73.15;94.75;135.09;113.81;127.30;54.11;151.35;103.86;143.60;128.78;81.50;133.34;82.48;91.03;114.32;67.08
C109,1472.421546388016,100,14,0.33769679069519043,results/aco_repeats\current\repeat_3\C109_acs_result.json,results/aco_repeats\current\repeat_3\C109_acs_routes.png,1810,129.286,200,105.173,70;140;80;140;140;110;100;200;170;190;190;130;110;40,51.03;77.52;61.81;95.87;101.06;146.18;163.05;134.41;163.74;145.83;96.98;89.55;80.51;64.88
C201,1617.6076345588804,100,14,0.33038830757141113,results/aco_repeats\current\repeat_3\C201_acs_result.json,results/aco_repeats\current\repeat_3\C201_acs_routes.png,1810,129.286,200,115.543,140;200;20;200;200;50;150;180;90;190;90;170;110;20,93.89;97.06;60.94;95.27;95.22;93.16;170.34;159.96;80.01;140.65;126.81;141.20;174.70;88.41
C202,1605.2094888733218,100,14,0.39545154571533203,results/aco_repeats\current\repeat_3\C202_acs_result.json,results/aco_repeats\current\repeat_3\C202_acs_routes.png,1810,129.286,200,114.658,100;200;200;200;170;30;90;200;200;120;140;140;10;10,55.32;86.02;104.06;138.22;117.03;66.66;99.80;164.48;199.13;136.16;152.99;164.46;76.16;44.72
C203,1487.0286841649324,100,12,0.40546083450317383,results/aco_repeats\current\repeat_3\C203_acs_result.json,results/aco_repeats\current\repeat_3\C203_acs_routes.png,1810,150.833,200,123.919,200;70;120;200;200;200;30;200;170;200;90;130,94.22;48.98;67.39;93.76;141.62;136.39;54.80;183.84;139.01;173.40;158.29;195.34
C204,1182.2189400142454,100,11,0.5401816368103027,results/aco_repeats\current\repeat_3\C204_acs_result.json,results/aco_repeats\current\repeat_3\C204_acs_routes.png,1810,164.545,200,107.474,170;200;150;200;200;180;200;180;200;100;30,64.74;102.58;73.35;114.81;99.55;112.48;97.57;125.75;175.81;140.94;74.63
C205,1496.3930833087209,100,12,0.3469569683074951,results/aco_repeats\current\repeat_3\C205_acs_result.json,results/aco_repeats\current\repeat_3\C205_acs_routes.png,1810,150.833,200,124.699,150;200;200;200;50;200;190;200;150;160;90;20,111.79;140.79;98.02;92.99;114.67;143.17;135.16;128.96;202.75;145.24;94.44;88.41
C206,1403.8023594254455,100,11,0.4038214683532715,results/aco_repeats\current\repeat_3\C206_acs_result.json,results/aco_repeats\current\repeat_3\C206_acs_routes.png,1810,164.545,200,127.618,200;80;120;190;200;200;190;200;190;190;50,101.86;109.40;128.53;128.56;94.91;112.81;146.60;139.00;213.60;134.35;94.18
C207,1270.3692374354664,100,10,0.380037784576416,results/aco_repeats\current\repeat_3\C207_acs_result.json,results/aco_repeats\current\repeat_3\C207_acs_routes.png,1810,181.0,200,127.037,200;200;200;200;120;200;200;180;130;180,155.55;92.99;119.24;101.45;147.22;100.30;133.97;92.96;173.28;153.43
C208,1294.8244312301304,100,10,0.39028358459472656,results/aco_repeats\current\repeat_3\C208_acs_result.json,results/aco_repeats\current\repeat_3\C208_acs_routes.png,1810,181.0,200,129.482,200;100;200;200;120;200;200;200;190;200,90.27;97.79;88.15;145.59;147.73;104.03;107.63;152.77;213.25;147.61
R101,2531.9492145296313,100,35,0.38959336280822754,results/aco_repeats\current\repeat_3\R101_acs_result.json,results/aco_repeats\current\repeat_3\R101_acs_routes.png,1458,41.657,105,72.341,32;37;39;15;36;40;23;24;40;80;46;49;77;25;105;20;43;44;20;46;21;57;41;69;72;34;23;54;90;12;85;19;15;5;20,18.63;44.57;45.54;18.00;40.66;49.11;78.39;43.67;53.05;74.74;43.32;50.39;63.87;92.44;113.12;74.04;92.63;72.20;78.83;96.38;84.94;110.73;78.00;87.22;88.87;76.99;51.11;85.90;103.49;71.34;91.93;95.87;79.32;82.80;99.86
R102,2371.951159635344,100,33,0.34623003005981445,results/aco_repeats\current\repeat_3\R102_acs_result.json,results/aco_repeats\current\repeat_3\R102_acs_routes.png,1458,44.182,95,71.877,32;72;58;42;67;53;78;61;52;34;82;36;95;21;49;27;45;39;56;48;59;26;23;54;19;12;47;85;27;19;15;5;20,18.63;53.85;45.90;29.04;49.34;44.25;61.42;54.97;63.12;45.07;82.40;90.37;91.59;84.95;143.94;60.62;82.23;69.79;77.00;70.85;104.21;75.61;51.11;85.90;58.31;71.34;87.99;91.93;68.41;95.87;79.32;82.80;99.86
R103,1898.994433427579,100,25,0.5130646228790283,results/aco_repeats\current\repeat_3\R103_acs_result.json,results/aco_repeats\current\repeat_3\R103_acs_routes.png,1458,58.32,152,75.96,32;74;138;37;98;152;56;61;138;34;88;33;5;71;106;72;20;11;18;50;3;42;85;14;20,18.63;51.28;51.45;48.16;73.85;84.58;53.73;68.88;98.26;49.78;93.78;100.38;42.19;81.63;105.44;88.87;103.74;70.59;53.85;104.88;62.13;91.79;91.93;109.32;99.86
R104,1380.155318988878,100,16,0.44091129302978516,results/aco_repeats\current\repeat_3\R104_acs_result.json,results/aco_repeats\current\repeat_3\R104_acs_routes.png,1458,91.125,175,86.26,32;131;120;144;175;61;107;34;100;110;8;83;119;58;116;60,18.63;99.26;71.38;95.45;83.25;44.30;93.91;49.78;120.01;99.73;67.61;89.64;115.52;95.65;133.05;102.99
R105,2094.4642033549353,100,27,0.37322521209716797,results/aco_repeats\current\repeat_3\R105_acs_result.json,results/aco_repeats\current\repeat_3\R105_acs_routes.png,1458,54.0,110,77.573,32;87;37;41;26;67;55;16;101;97;75;68;91;38;46;61;110;49;78;34;31;24;60;66;32;16;20,18.63;64.45;42.85;83.76;45.02;79.22;72.74;31.87;61.75;75.00;73.40;102.43;86.37;88.02;125.82;94.86;91.94;90.19;88.40;97.68;61.64;96.42;90.86;90.14;82.82;58.31;99.86
R106,2044.1225281039674,100,27,0.2555971145629883,results/aco_repeats\current\repeat_3\R106_acs_result.json,results/aco_repeats\current\repeat_3\R106_acs_routes.png,1458,54.0,118,75.708,39;101;62;115;48;77;61;48;74;15;86;40;118;48;47;43;54;53;31;79;9;52;24;85;24;5;20,36.63;60.59;35.03;47.82;49.11;81.39;54.97;49.38;87.86;72.68;83.18;70.12;116.83;72.48;98.94;99.84;54.23;65.60;61.64;108.53;52.50;115.92;96.42;91.93;97.84;82.80;99.86
R107,1682.906467022116,100,20,0.25638270378112793,results/aco_repeats\current\repeat_3\R107_acs_result.json,results/aco_repeats\current\repeat_3\R107_acs_routes.png,1458,72.9,173,84.145,49;104;112;84;94;172;31;173;19;76;53;61;59;113;69;62;70;21;16;20,30.60;56.71;54.21;43.50;71.43;103.17;60.60;87.02;87.59;108.81;121.88;81.00;79.02;128.96;99.93;87.64;103.22;92.92;84.85;99.86
R108,1354.5567513582894,100,15,0.23406076431274414,results/aco_repeats\current\repeat_3\R108_acs_result.json,results/aco_repeats\current\repeat_3\R108_acs_routes.png,1458,97.2,179,90.304,39;179;111;160;107;114;172;99;66;125;112;89;44;25;16,36.63;102.69;75.16;97.50;104.82;48.70;105.12;98.41;109.34;130.94;90.51;104.77;98.22;87.73;64.03
R109,1684.265088992331,100,19,0.20383739471435547,results/aco_repeats\current\repeat_3\R109_acs_result.json,results/aco_repeats\current\repeat_3\R109_acs_routes.png,1458,76.737,165,88.646,70;112;92;97;62;53;100;165;110;53;99;98;42;73;52;69;50;26;35,35.42;71.28;66.76;75.51;67.94;77.53;86.65;102.93;93.50;102.96;91.89;142.97;71.04;107.62;82.92;115.58;112.94;78.94;99.89
R110,1534.3854662265903,100,16,0.22693109512329102,results/aco_repeats\current\repeat_3\R110_acs_result.json,results/aco_repeats\current\repeat_3\R110_acs_routes.png,1458,91.125,153,95.899,83;153;92;78;141;92;97;68;53;108;137;103;108;91;24;30,53.95;80.79;64.19;89.38;88.66;88.26;129.19;76.12;86.09;117.42;81.38;149.84;125.15;119.69;96.42;87.86
R111,1608.9039296425626,100,19,0.2380974292755127,results/aco_repeats\current\repeat_3\R111_acs_result.json,results/aco_repeats\current\repeat_3\R111_acs_routes.png,1458,76.737,186,84.679,39;150;186;52;86;84;69;69;69;63;116;108;49;53;88;51;21;85;20,36.63;64.75;62.38;45.75;83.24;108.58;72.25;81.62;83.21;95.70;100.95;104.54;109.36;79.48;91.22;104.39;93.06;91.93;99.86
R112,1230.504438300852,100,13,0.27641844749450684,results/aco_repeats\current\repeat_3\R112_acs_result.json,results/aco_repeats\current\repeat_3\R112_acs_routes.png,1458,112.154,160,94.654,119;144;160;117;97;123;153;125;60;70;108;109;73,70.57;64.79;70.18;83.61;76.25;96.81;118.94;90.15;91.98;106.46;119.59;127.95;113.23
R201,1859.3974702165883,100,15,0.2535526752471924,results/aco_repeats\current\repeat_3\R201_acs_result.json,results/aco_repeats\current\repeat_3\R201_acs_routes.png,1458,97.2,161,123.96,91;93;126;60;144;155;59;149;56;161;95;120;47;72;30,93.67;85.48;118.38;99.72;160.34;211.00;76.50;105.49;68.83;151.16;142.26;169.14;128.86;127.81;120.76
R202,1608.3498186950883,100,12,0.2671663761138916,results/aco_repeats\current\repeat_3\R202_acs_result.json,results/aco_repeats\current\repeat_3\R202_acs_routes.png,1458,121.5,199,134.029,199;199;113;199;75;128;117;75;167;105;71;10,60.67;154.00;67.24;184.95;141.35;149.08;162.00;90.21;210.43;167.94;150.62;69.86
